"Route ID:","Route Location:","X (Longitude)","Y (Latitude)"
4478,"18TH ST BETWEEN MINNESOTA ST AND I-280 N ON RAMP",-122.39152404,37.76287753
12112,"18th St BETWEEN Noe St AND Hartford St",-122.43334854,37.76098803
12133,"18TH ST BETWEEN PENNSYLVANIA AVE AND MISSISSIPPI ST",-122.39410399,37.76272587
12116,"18TH ST BETWEEN VALENCIA ST AND LAPIDGE ST",-122.42199491,37.76167557
12127,"18TH ST BETWEEN VERMONT ST AND SAN BRUNO AVE",-122.40473935,37.76208363
12101,"19TH AVE BETWEEN CABRILLO ST AND FULTON ST",-122.47783355,37.77379682
196,"19TH AVE BETWEEN JUNIPERO SERRA BLVD AND SARGENT ST",-122.47207225,37.71664997
194,"19TH AVE BETWEEN MONTICELLO ST AND CHESTER AVE",-122.47058803,37.71509067
297,"19th Ave BETWEEN Moraga St AND Noriega St",-122.47654991,37.75517711
237,"19th Ave BETWEEN Ocean Ave AND Eucalyptus Dr",-122.4749624,37.73175741
275,"19th Ave BETWEEN Ortega St AND Pacheco St",-122.47617041,37.75144778
12088,"19th Ave BETWEEN Pacheco St AND Quintara St",-122.47615501,37.74957729
239,"19th Ave BETWEEN Rivera St AND Santiago St",-122.47578356,37.74585256
197,"19TH AVE BETWEEN UNNAMED 106 AND JUNIPERO SERRA BLVD",-122.47391498,37.71843465
217,"19TH AVE BETWEEN WINSTON DR AND WINSTON DR",-122.47468741,37.7286295
4555,"19TH ST BETWEEN 19TH ST AND PENNSYLVANIA AVE",-122.39324088,37.76149112
4536,"19TH ST BETWEEN ALABAMA ST AND HARRISON ST",-122.41228483,37.76034676
74,"19TH ST BETWEEN CHURCH ST AND SANCHEZ ST",-122.42931133,37.75962455
12064,"19TH ST BETWEEN CLOVER LN AND YUKON ST",-122.44160466,37.75897449
158,"19TH ST BETWEEN CONNECTICUT ST AND ARKANSAS ST",-122.39785498,37.76121313
12067,"19TH ST BETWEEN DOUGLASS ST AND LAMSON LN",-122.43963155,37.75900356
12068,"19th St BETWEEN Eureka St AND Douglass St",-122.43863983,37.7590602
12072,"19th St BETWEEN Hartford St AND Castro St",-122.43429911,37.75932274
4562,"19TH ST BETWEEN ILLINOIS ST AND 03RD ST",-122.38818701,37.76179646
133,"19TH ST BETWEEN KANSAS ST AND VERMONT ST",-122.4036527,37.76086302
98,"19TH ST BETWEEN MISSION ST AND VALENCIA ST",-122.41959049,37.76021213
159,"19TH ST BETWEEN MISSOURI ST AND CONNECTICUT ST",-122.39688845,37.76127131
175,"19TH ST BETWEEN PENNSYLVANIA AVE AND MISSISSIPPI ST",-122.39398103,37.76144638
73,"19TH ST BETWEEN SANCHEZ ST AND NOE ST",-122.43152906,37.75949038
4534,"19TH ST BETWEEN TREAT AVE AND FOLSOM ST",-122.41429869,37.76053166
12060,"19TH ST BETWEEN YUKON ST AND DANVERS ST",-122.44258079,37.75890609
44,"20TH AVE BETWEEN BALBOA ST AND CABRILLO ST",-122.47903903,37.77561372
4578,"20TH AVE BETWEEN IRVING ST AND JUDAH ST",-122.4781264,37.76258396
12055,"20th Ave BETWEEN Ocean Ave AND Eucalyptus Dr",-122.47598326,37.73189746
42,"20TH AVE BETWEEN PACHECO ST AND QUINTARA ST",-122.47721842,37.74953051
